Number of Agents,Test Agent Velocity,Test Agent Density
60,0.08520679032575212,1.039196667506353
55,0.10612678068492591,0.9995005533242133
50,0.14924516388267034,0.9965464831029464
50,0.14924516388267034,0.9965464831029464
48,0.16793695904921846,0.9932552600636425
46,0.18820123054650742,0.9898590795230122
44,0.21023692083771325,0.9863581978086163
42,0.2343186733958183,0.9827529179352307
40,0.2620175350196513,0.9811295303887361
38,0.2918397126501291,0.978316718506051
36,0.3240683036270722,0.9740840061304555
34,0.3600110772639158,0.969765432970762
32,0.40036957191253464,0.9653616112639566
30,0.4459691252144082,0.96087318169743
30,0.4459691252144082,0.96087318169743
29,0.4711852120333454,0.9585974466442155
28,0.49808429118773945,0.9563008121194845
27,0.5284552845528455,0.9555505802845696
26,0.5601034037052994,0.9537941249872894
25,0.5937428636675041,0.9512715498480537
24,0.6298449612403101,0.9487350097152728
23,0.6694129763130793,0.9461845926677844
22,0.712523979172376,0.9436203871314055
21,0.7595676307332748,0.9410424818521498
20,0.811232449297972,0.9384509658699243
19,0.8686936184430337,0.9358459284925279
18,0.932233775546791,0.9332274592700658
17,0.997697620874904,0.9267555595362106
16,1.0616578195181705,0.9142463731757451
15,1.125054089138901,0.8957208862976797
14,1.188843164151806,0.8722684120243276
13,1.2328117591275487,0.8331594354132494
12,1.2633624878522836,0.7841549781497856
11,1.2839506172839505,0.7281792061130455
10,1.2980529206190714,0.6678172041501905
9,1.3085052843482636,0.6047520849107336
8,1.3157894736842104,0.5399810341002126
7,1.329923273657289,0.47636745543989434
6,1.3395157135497167,0.4108615384615371
5,1.3395157135497167,0.3423846153846145
4,1.3395157135497167,0.2739076923076914
3,1.3395157135497167,0.20543076923076856
2,1.3395157135497167,0.1369538461538457
